UTGDAG,SVFN,POSTNR,KAUPVERD,EINFLM,FERMETRAVERD,TEGUND
2006-05,2000,230,17700000,"158,1",111954,Fjölbýli
2006-03,7300,740,10500000,"80,0",131250,Fjölbýli
2006-05,7300,755,13000000,"218,8",59415,Fjölbýli
2006-05,7300,750,6600000,"72,1",91540,Fjölbýli
2006-05,7300,755,11400000,"188,0",60638,Einbýli
2006-05,7300,740,15000000,"152,7",98232,Einbýli
2006-05,7300,740,16400000,"186,8",87794,Einbýli
2006-04,7300,730,6650000,"194,9",34120,Einbýli
2006-05,0,112,17100000,"97,4",175565,Fjölbýli
2006-05,1400,221,34800000,"223,5",155705,Einbýli
2006-05,2000,230,14000000,"89,2",156951,Sérbýli
2006-05,0,113,24500000,"101,8",240668,Fjölbýli
2006-05,0,113,27900000,"116,7",239075,Fjölbýli
2006-05,0,109,15300000,"94,0",162766,Fjölbýli
2006-05,0,101,16750000,"67,1",249627,Fjölbýli
2006-05,6000,600,18200000,"102,8",177043,Fjölbýli
2006-05,6000,603,14400000,"82,2",175182,Fjölbýli
2006-05,1400,220,17800000,"111,4",159785,Fjölbýli
2006-05,1400,220,26900000,"106,2",253296,Fjölbýli
2006-05,1000,201,25500000,"112,3",227070,Fjölbýli
2006-05,0,105,16300000,"72,4",225138,Fjölbýli
2006-05,0,116,42300000,"257,7",164144,Einbýli
2006-05,1300,210,28200000,"137,1",205689,Fjölbýli
2006-04,0,112,17300000,"89,0",194382,Fjölbýli
2006-05,0,113,31500000,"129,4",243431,Fjölbýli
2006-05,0,112,19700000,"83,2",236779,Fjölbýli
2006-05,0,104,14550000,"70,3",206970,Fjölbýli
2006-05,0,101,9500000,"31,4",302548,Fjölbýli
2006-05,0,113,23900000,"97,9",244127,Fjölbýli
2006-05,0,110,16500000,"73,4",224796,Fjölbýli
2006-05,0,110,15500000,"87,3",177549,Fjölbýli
2006-05,0,112,14200000,"51,3",276803,Fjölbýli
2006-05,0,101,23000000,"63,6",361635,Fjölbýli
2006-05,0,101,23000000,"64,8",354938,Fjölbýli
2006-05,0,101,19000000,"80,9",234858,Fjölbýli
2006-05,0,112,28200000,"128,9",218774,Sérbýli
2006-05,0,101,17000000,"87,7",193843,Fjölbýli
2006-05,0,104,18900000,"81,2",232759,Fjölbýli
2006-03,0,112,24700000,"112,3",219947,Fjölbýli
2006-05,0,110,13500000,"67,8",199115,Fjölbýli
2006-05,0,113,18850000,"83,0",227108,Fjölbýli
2006-05,0,111,15500000,"97,7",158649,Fjölbýli
2006-05,1100,170,38000000,"175,6",216401,Fjölbýli
2006-05,0,109,19400000,"122,1",158886,Fjölbýli
2006-05,0,111,11900000,"68,9",172714,Fjölbýli
2006-05,0,112,38700000,"158,7",243856,Einbýli
2006-05,0,108,19200000,"80,8",237624,Fjölbýli
2006-05,0,105,18700000,"84,2",222090,Fjölbýli
2006-05,0,110,29900000,"127,5",234510,Fjölbýli
2006-05,0,111,14700000,"57,7",254766,Fjölbýli
2006-05,0,101,10400000,"40,6",256158,Fjölbýli
2006-05,0,101,16800000,"78,0",215385,Fjölbýli
2006-05,0,109,12000000,"55,9",214669,Fjölbýli
2006-05,0,112,27700000,"166,4",166466,Fjölbýli
2006-05,3000,300,23500000,"192,7",121951,Einbýli
2006-05,3000,300,12500000,"144,0",86806,Einbýli
2006-05,3000,300,12500000,"111,2",112410,Fjölbýli
2006-05,3716,340,20000000,"242,6",82440,Einbýli
2006-05,4200,400,6500000,"73,3",88677,Fjölbýli
2006-05,4200,410,8000000,"141,6",56497,Einbýli
2006-05,4200,400,19000000,"198,0",95960,Einbýli
2006-05,5716,550,18600000,"181,5",102479,Einbýli
2006-05,6000,603,21500000,"113,1",190097,Sérbýli
2006-05,6400,620,8500000,"80,0",106250,Sérbýli
2006-05,6000,600,19900000,"107,6",184944,Sérbýli
2006-05,6000,600,26500000,"180,4",146896,Fjölbýli
2006-05,8000,900,10400000,"148,3",70128,Einbýli
2006-05,8000,900,13700000,"179,4",76366,Einbýli
2006-05,8716,810,27900000,"154,8",180233,Sérbýli
2006-05,8200,800,30500000,"166,8",182854,Sérbýli
2006-05,2000,230,34000000,"184,6",184182,Einbýli
2006-05,2000,260,24000000,"194,0",123711,Einbýli
2006-05,2000,260,9100000,"59,5",152941,Fjölbýli
2006-05,1400,220,20000000,"105,6",189394,Fjölbýli
2006-05,1400,220,21800000,"106,1",205467,Fjölbýli
2006-05,1400,221,22700000,"102,7",221032,Fjölbýli
2006-05,1400,221,34500000,"178,0",193820,Fjölbýli
2006-05,1300,210,16200000,"62,0",261290,Fjölbýli
2006-05,1400,221,17000000,"85,7",198366,Fjölbýli
2006-05,1400,220,14000000,"80,7",173482,Fjölbýli
2006-05,1300,225,25900000,"110,6",234177,Fjölbýli
2006-05,1400,220,12500000,"59,1",211506,Fjölbýli
2006-05,1400,220,16600000,"82,6",200969,Fjölbýli
2006-05,1400,220,14400000,"76,9",187256,Fjölbýli
2006-05,1400,220,16300000,"84,4",193128,Fjölbýli
2006-05,1000,201,17500000,"98,9",176946,Fjölbýli
2006-05,1000,200,50000000,"294,7",169664,Fjölbýli
2006-05,1000,201,27000000,"119,5",225941,Fjölbýli
2006-05,1000,200,13900000,"62,1",223833,Fjölbýli
2006-05,1000,201,37100000,"139,0",266906,Sérbýli
2006-05,1000,200,34200000,"186,2",183673,Einbýli
2006-05,1000,203,17900000,"73,7",242877,Fjölbýli
2006-05,1000,203,26300000,"109,8",239526,Fjölbýli
2006-05,1000,200,18100000,"89,5",202235,Fjölbýli
2006-05,1000,200,33600000,"162,8",206388,Fjölbýli
2006-05,1000,203,30000000,"131,0",229008,Fjölbýli
2006-05,1000,200,16500000,"83,3",198079,Fjölbýli
2006-05,1000,203,20300000,"89,5",226816,Fjölbýli
2006-05,7300,755,7300000,"92,2",79176,Einbýli
2006-05,8401,780,8300000,"99,7",83250,Fjölbýli
2006-05,3000,300,13900000,"100,4",138446,Fjölbýli
