FAERSLUNUMER,FASTNUM,HEIMILISFANG,POSTNR,UTGDAG,KAUPVERD,FASTEIGNAMAT,FASTEIGNAMAT_GILDANDI,BYGGAR,EINFLM,FJHERB
500342,2067729,Melabraut 3,170,2006-05-08,25500,19610,93450,1963,"102,3",3
500343,2254380,Kristnibraut 7,113,2006-05-08,51000,42450,130850,2003,"240,2",4
500344,2051170,Hamraberg 14,111,2006-03-30,30700,24020,79150,1981,"133,4",4
500345,2017735,Hjallavegur 28,104,2006-05-08,13000,10810,44200,1949,"55,0",1
500346,2052528,Iðufell 4,111,2006-05-08,13700,13015,46150,1973,"82,0",2
500348,2007862,Grettisgata 32,101,2006-05-08,20300,15900,69100,1962,"88,2",2
500349,2036933,Gautland 3,108,2006-05-08,22500,18270,75250,1969,"102,9",3
500350,2007630,Þórsgata 14,101,2006-05-09,16700,11930,51350,1934,"50,2",2
500351,2037257,Goðaland 16,108,2006-05-08,47000,39090,158750,1969,"250,0",4
500352,2040981,Veghús 13,112,2006-05-05,16000,13220,50750,1990,"73,8",1
500354,2008003,Grettisgata 60,101,2006-05-08,10900,8030,39500,1923,"35,1",1
500355,2012820,Háteigsvegur 48,105,2006-05-09,14100,10370,51150,1964,"51,8",1
500357,2013289,Skipholt 53,105,2006-05-09,16900,14100,60100,1963,"88,9",2
500358,2000771,Framnesvegur 34,101,2006-05-05,13200,11325,52000,1930,"60,4",2
500360,2223287,Bjartahlíð 39,270,2006-05-05,5000,2897,7680,1995,"56,0",
500360,2223288,Bjartahlíð 39,270,2006-05-05,5000,2897,7680,1995,"56,0",
500370,2049615,Krummahólar 8,111,2006-05-09,10800,10475,39600,1976,"72,5",1
500371,2046282,Rauðás 16,110,2006-05-08,16500,15430,58450,1984,"85,1",1
500372,2005310,Hverfisgata 102A,101,2006-05-05,14300,13310,59300,1933,"70,7",1
500379,2121494,Mávakambur 2,415,2006-05-09,6000,25370,67200,1987,"1170,0",
500380,2138937,Norðurbraut 5,545,2006-05-04,12750,8503,44300,1980,"251,0",6
500382,2233626,Hafnarstræti 99-101,600,2006-04-27,17000,6880,21650,1961,"196,7",
500382,2233625,Hafnarstræti 99-101,600,2006-04-27,17000,13350,47150,1961,"196,7",
500383,2148088,Kambagerði 1,600,2006-05-09,10300,7950,36050,1975,"57,9",1
500384,2148923,Lundargata 5,600,2006-05-08,11300,11290,44350,1895,"101,0",3
500385,2284474,Njarðarnes 6,603,2006-05-03,6830,872,35700,    ,"121,6",
500386,2284485,Njarðarnes 6,603,2006-05-09,5900,603,22700,    ,"73,0",
