POSTNR,HEITI_NF,HEITI_TGF
101,Amtmannsstígur 1,Amtmannsstíg 1
101,Amtmannsstígur 2,Amtmannsstíg 2
101,Amtmannsstígur 2B,Amtmannsstíg 2B
101,Amtmannsstígur 4,Amtmannsstíg 4
101,Amtmannsstígur 4A,Amtmannsstíg 4A
101,Amtmannsstígur 5,Amtmannsstíg 5
101,Amtmannsstígur 5A,Amtmannsstíg 5A
101,Amtmannsstígur 6,Amtmannsstíg 6
101,Arnarhóll,Arnarhóli
101,Austurbakki 2,Austurbakka 2
101,Austurstræti 10A,Austurstræti 10A
101,Austurstræti 11,Austurstræti 11
101,Austurstræti 12,Austurstræti 12
101,Austurstræti 12A,Austurstræti 12A
101,Austurstræti 14,Austurstræti 14
101,Austurstræti 16,Austurstræti 16
101,Austurstræti 17,Austurstræti 17
101,Austurstræti 18,Austurstræti 18
101,Austurstræti 20,Austurstræti 20
101,Austurstræti 22,Austurstræti 22
101,Austurstræti 22A,Austurstræti 22A
101,Austurstræti 22B,Austurstræti 22B
101,Austurstræti 3,Austurstræti 3
101,Austurstræti 4,Austurstræti 4
101,Austurstræti 5,Austurstræti 5
101,Austurstræti 6,Austurstræti 6
101,Austurstræti 7,Austurstræti 7
101,Austurstræti 8,Austurstræti 8
101,Austurstræti 9,Austurstræti 9
101,Aðalstræti 10,Aðalstræti 10
101,Aðalstræti 11,Aðalstræti 11
101,Aðalstræti 12,Aðalstræti 12
101,Aðalstræti 16,Aðalstræti 16
101,Aðalstræti 2,Aðalstræti 2
101,Aðalstræti 4,Aðalstræti 4
101,Aðalstræti 6,Aðalstræti 6
101,Aðalstræti 7,Aðalstræti 7
101,Aðalstræti 8,Aðalstræti 8
101,Aðalstræti 9,Aðalstræti 9
101,Aðalstræti Kirkjustræ,Aðalstræti Kirkjustræ
101,Bakkastígur 1,Bakkastíg 1
101,Bakkastígur 2,Bakkastíg 2
101,Bakkastígur 3,Bakkastíg 3
101,Bakkastígur 4,Bakkastíg 4
101,Bakkastígur 5,Bakkastíg 5
101,Baldursgata 1,Baldursgötu 1
101,Baldursgata 10,Baldursgötu 10
101,Baldursgata 11,Baldursgötu 11
101,Baldursgata 12,Baldursgötu 12
101,Baldursgata 13,Baldursgötu 13
101,Baldursgata 14,Baldursgötu 14
101,Baldursgata 15,Baldursgötu 15
101,Baldursgata 16,Baldursgötu 16
101,Baldursgata 17,Baldursgötu 17
101,Baldursgata 18,Baldursgötu 18
101,Baldursgata 19,Baldursgötu 19
101,Baldursgata 20,Baldursgötu 20
101,Baldursgata 21,Baldursgötu 21
101,Baldursgata 22,Baldursgötu 22
101,Baldursgata 22A,Baldursgötu 22A
101,Baldursgata 23,Baldursgötu 23
101,Baldursgata 24,Baldursgötu 24
101,Baldursgata 24A,Baldursgötu 24A
101,Baldursgata 25,Baldursgötu 25
101,Baldursgata 25B,Baldursgötu 25B
101,Baldursgata 26,Baldursgötu 26
101,Baldursgata 27,Baldursgötu 27
101,Baldursgata 28,Baldursgötu 28
101,Baldursgata 29,Baldursgötu 29
101,Baldursgata 3,Baldursgötu 3
101,Baldursgata 30,Baldursgötu 30
101,Baldursgata 31,Baldursgötu 31
101,Baldursgata 32,Baldursgötu 32
101,Baldursgata 33,Baldursgötu 33
101,Baldursgata 34,Baldursgötu 34
101,Baldursgata 36,Baldursgötu 36
101,Baldursgata 37,Baldursgötu 37
101,Baldursgata 39,Baldursgötu 39
101,Baldursgata 3b,Baldursgötu 3b
101,Baldursgata 4,Baldursgötu 4
101,Baldursgata 6,Baldursgötu 6
101,Baldursgata 6A,Baldursgötu 6A
101,Baldursgata 7,Baldursgötu 7
101,Baldursgata 7A,Baldursgötu 7A
101,Baldursgata 8,Baldursgötu 8
101,Baldursgata 9,Baldursgötu 9
101,Bankastræti 0,Bankastræti 0
101,Bankastræti 10,Bankastræti 10
101,Bankastræti 11,Bankastræti 11
101,Bankastræti 12,Bankastræti 12
101,Bankastræti 14,Bankastræti 14
101,Bankastræti 2,Bankastræti 2
101,Bankastræti 3,Bankastræti 3
101,Bankastræti 4,Bankastræti 4
101,Bankastræti 5,Bankastræti 5
101,Bankastræti 6,Bankastræti 6
101,Bankastræti 7,Bankastræti 7
101,Bankastræti 7A,Bankastræti 7A
101,Bankastræti 8,Bankastræti 8
101,Bankastræti 9,Bankastræti 9
101,Barónsstígur 11,Barónsstíg 11
101,Barónsstígur 11A,Barónsstíg 11A
101,Barónsstígur 11B,Barónsstíg 11B
101,Barónsstígur 13,Barónsstíg 13
101,Barónsstígur 16,Barónsstíg 16
101,Barónsstígur 18,Barónsstíg 18
