season,position,,team,played,won,drawn,lost,goals,goal difference,points,goals for,goals against,points per game,last result,form,gf,ga,games scored in,clean sheets
1992-1993,18.0,,Manchester United,1,0,0,1,1:2,-1,0,1,2,0.0,L,L,1,1,1,0
1992-1993,22.0,,Manchester United,2,0,0,2,1:5,-4,0,1,5,0.0,L,L-L,0,1,1,0
1992-1993,21.0,,Manchester United,3,0,1,2,2:6,-4,1,2,6,0.33,D,L-L-D,1,1,2,0
1992-1993,17.0,,Manchester United,4,1,1,2,3:6,-3,4,3,6,1.0,W,L-L-D-W,1,0,3,1
1992-1993,9.0,,Manchester United,5,2,1,2,5:6,-1,7,5,6,1.4,W,L-L-D-W-W,1,0,4,2
1992-1993,7.0,,Manchester United,6,3,1,2,6:6,0,10,6,6,1.67,W,L-D-W-W-W,1,0,5,3
1992-1993,4.0,,Manchester United,7,4,1,2,8:6,2,13,8,6,1.86,W,D-W-W-W-W,1,0,6,4
1992-1993,4.0,,Manchester United,8,5,1,2,10:6,4,16,10,6,2.0,W,W-W-W-W-W,1,0,7,5
1992-1993,4.0,,Manchester United,9,5,2,2,11:7,4,17,11,7,1.89,D,W-W-W-W-D,1,1,8,5
1992-1993,4.0,,Manchester United,10,5,3,2,11:7,4,18,11,7,1.8,D,W-W-W-D-D,0,0,8,6
1992-1993,6.0,,Manchester United,11,5,4,2,12:8,4,19,12,8,1.73,D,W-W-D-D-D,1,1,9,6
1992-1993,6.0,,Manchester United,12,5,5,2,14:10,4,20,14,10,1.67,D,W-D-D-D-D,1,1,10,6
1992-1993,7.0,,Manchester United,13,5,6,2,14:10,4,21,14,10,1.62,D,D-D-D-D-D,0,0,10,7
1992-1993,7.0,,Manchester United,14,5,6,3,14:11,3,21,14,11,1.5,L,D-D-D-D-L,0,1,10,7
1992-1993,10.0,,Manchester United,15,5,6,4,14:12,2,21,14,12,1.4,L,D-D-D-L-L,0,1,10,7
1992-1993,8.0,,Manchester United,16,6,6,4,17:12,5,24,17,12,1.5,W,D-D-L-L-W,1,0,11,8
1992-1993,6.0,,Manchester United,17,7,6,4,18:12,6,27,18,12,1.59,W,D-L-L-W-W,1,0,12,9
1992-1993,5.0,,Manchester United,18,8,6,4,20:13,7,30,20,13,1.67,W,L-L-W-W-W,1,1,13,9
1992-1993,3.0,,Manchester United,19,9,6,4,21:13,8,33,21,13,1.74,W,L-W-W-W-W,1,0,14,10
1992-1993,4.0,,Manchester United,20,9,7,4,22:14,8,34,22,14,1.7,D,W-W-W-W-D,1,1,15,10
1992-1993,3.0,,Manchester United,21,9,8,4,25:17,8,35,25,17,1.67,D,W-W-W-D-D,1,1,16,10
1992-1993,2.0,,Manchester United,22,10,8,4,30:17,13,38,30,17,1.73,W,W-W-D-D-W,1,0,17,11
1992-1993,1.0,,Manchester United,23,11,8,4,34:18,16,41,34,18,1.78,W,W-D-D-W-W,1,1,18,11
1992-1993,1.0,,Manchester United,24,12,8,4,37:19,18,44,37,19,1.83,W,D-D-W-W-W,1,1,19,11
1992-1993,1.0,,Manchester United,25,13,8,4,39:19,20,47,39,19,1.88,W,D-W-W-W-W,1,0,20,12
1992-1993,2.0,,Manchester United,26,13,8,5,40:21,19,47,40,21,1.81,L,W-W-W-W-L,1,1,21,12
1992-1993,1.0,,Manchester United,27,14,8,5,42:22,20,50,42,22,1.85,W,W-W-W-L-W,1,1,22,12
