season,position,,team,played,won,drawn,lost,goals,goal difference,points
1992-1993,18,,Manchester United,1,0,0,1,1:2,-1,0
1992-1993,22,,Manchester United,2,0,0,2,1:5,-4,0
1992-1993,21,,Manchester United,3,0,1,2,2:6,-4,1
1992-1993,17,,Manchester United,4,1,1,2,3:6,-3,4
1992-1993,9,,Manchester United,5,2,1,2,5:6,-1,7
1992-1993,7,,Manchester United,6,3,1,2,6:6,0,10
1992-1993,4,,Manchester United,7,4,1,2,8:6,2,13
1992-1993,4,,Manchester United,8,5,1,2,10:6,4,16
1992-1993,4,,Manchester United,9,5,2,2,11:7,4,17
1992-1993,4,,Manchester United,10,5,3,2,11:7,4,18
1992-1993,6,,Manchester United,11,5,4,2,12:8,4,19
1992-1993,6,,Manchester United,12,5,5,2,14:10,4,20
1992-1993,7,,Manchester United,13,5,6,2,14:10,4,21
1992-1993,7,,Manchester United,14,5,6,3,14:11,3,21
1992-1993,10,,Manchester United,15,5,6,4,14:12,2,21
1992-1993,8,,Manchester United,16,6,6,4,17:12,5,24
1992-1993,6,,Manchester United,17,7,6,4,18:12,6,27
1992-1993,5,,Manchester United,18,8,6,4,20:13,7,30
1992-1993,3,,Manchester United,19,9,6,4,21:13,8,33
1992-1993,4,,Manchester United,20,9,7,4,22:14,8,34
1992-1993,3,,Manchester United,21,9,8,4,25:17,8,35
1992-1993,2,,Manchester United,22,10,8,4,30:17,13,38
1992-1993,1,,Manchester United,23,11,8,4,34:18,16,41
1992-1993,1,,Manchester United,24,12,8,4,37:19,18,44
1992-1993,1,,Manchester United,25,13,8,4,39:19,20,47
1992-1993,2,,Manchester United,26,13,8,5,40:21,19,47
1992-1993,1,,Manchester United,27,14,8,5,42:22,20,50
1992-1993,1,,Manchester United,28,14,9,5,42:22,20,51
1992-1993,1,,Manchester United,29,15,9,5,44:22,22,54
1992-1993,1,,Manchester United,30,16,9,5,46:23,23,57
1992-1993,1,,Manchester United,31,17,9,5,49:23,26,60
1992-1993,1,,Manchester United,32,17,9,6,49:24,25,60
1992-1993,1,,Manchester United,33,18,9,6,51:25,26,63
1992-1993,1,,Manchester United,34,18,10,6,52:26,26,64
1992-1993,1,,Manchester United,35,18,11,6,53:27,26,65
1992-1993,1,,Manchester United,36,18,12,6,53:27,26,66
1992-1993,1,,Manchester United,37,19,12,6,56:28,28,69
1992-1993,1,,Manchester United,38,20,12,6,58:29,29,72
1992-1993,1,,Manchester United,39,21,12,6,59:29,30,75
1992-1993,1,,Manchester United,40,22,12,6,62:29,33,78
1992-1993,1,,Manchester United,41,23,12,6,65:30,35,81
1992-1993,1,,Manchester United,42,24,12,6,67:31,36,84
1993-1994,,,Manchester United,1,1,0,0,2:0,2,3
1993-1994,1,,Manchester United,2,2,0,0,5:0,5,6
1993-1994,4,,Manchester United,3,2,1,0,6:1,5,7
1993-1994,1,,Manchester United,4,3,1,0,8:2,6,10
1993-1994,1,,Manchester United,5,4,1,0,11:3,8,13
1993-1994,1,,Manchester United,6,5,1,0,14:3,11,16
1993-1994,1,,Manchester United,7,5,1,1,14:4,10,16
1993-1994,1,,Manchester United,8,6,1,1,15:4,11,19
1993-1994,1,,Manchester United,9,7,1,1,19:6,13,22
1993-1994,1,,Manchester United,10,8,1,1,22:8,14,25
1993-1994,1,,Manchester United,11,9,1,1,24:9,15,28
1993-1994,1,,Manchester United,12,10,1,1,25:9,16,31
1993-1994,1,,Manchester United,13,11,1,1,27:10,17,34
1993-1994,1,,Manchester United,14,12,1,1,30:12,18,37
1993-1994,1,,Manchester United,15,13,1,1,33:13,20,40
1993-1994,1,,Manchester United,16,13,2,1,33:13,20,41
1993-1994,1,,Manchester United,17,14,2,1,34:13,21,44
1993-1994,1,,Manchester United,18,14,3,1,36:15,21,45
1993-1994,1,,Manchester United,19,15,3,1,39:15,24,48
1993-1994,1,,Manchester United,20,15,4,1,40:16,24,49
1993-1994,1,,Manchester United,21,16,4,1,43:17,26,52
1993-1994,1,,Manchester United,22,16,5,1,44:18,26,53
1993-1994,1,,Manchester United,23,17,5,1,49:20,29,56
1993-1994,1,,Manchester United,24,17,6,1,49:20,29,57
1993-1994,1,,Manchester United,25,17,7,1,52:23,29,58
1993-1994,1,,Manchester United,26,18,7,1,53:23,30,61
1993-1994,1,,Manchester United,27,19,7,1,54:23,31,64
1993-1994,1,,Manchester United,28,20,7,1,55:23,32,67
1993-1994,1,,Manchester United,29,21,7,1,58:25,33,70
1993-1994,1,,Manchester United,30,22,7,1,60:25,35,73
1993-1994,1,,Manchester United,31,22,8,1,62:27,35,74
1993-1994,1,,Manchester United,32,22,8,2,62:28,34,74
1993-1994,1,,Manchester United,33,22,9,2,64:30,34,75
1993-1994,1,,Manchester United,34,22,10,2,66:32,34,76
1993-1994,1,,Manchester United,35,23,10,2,71:32,39,79
1993-1994,1,,Manchester United,36,23,10,3,71:34,37,79
1993-1994,1,,Manchester United,37,24,10,3,74:36,38,82
1993-1994,1,,Manchester United,38,25,10,3,76:36,40,85
