SVFNR,POSTNR,HEITI_NF,HEITI_TGF,HUSMERKING
1000,201,Bæjarlind,Bæjarlind,8
4604,451,Höfði,Höfða,
2000,260,Dalsbraut,Dalsbraut,1K
6613,660,Krafla,Kröflu,2E
6100,671,Vatnshús,Vatnshúsi,
1000,200,Nýbýlavegur,Nýbýlavegi,12
1000,201,Dalsmári,Dalsmára,11
1000,201,Dalsmári,Dalsmára,9
1000,200,Digranesheiði,Digranesheiði,8
1400,220,Drangahraun,Drangahrauni,10
0000,104,Dugguvogur,Dugguvogi,49
2000,230,Duusgata,Duusgötu,10
2506,191,Efri Brunnastaðir,Efri Brunnastöðum,1
0000,105,Engjateigur,Engjateigi,17
0000,105,Engjateigur,Engjateigi,19
0000,105,Eskihlíð,Eskihlíð,2
0000,105,Eskihlíð,Eskihlíð,4
0000,112,Fannafold,Fannafold,102
0000,112,Fannafold,Fannafold,104
0000,112,Fannafold,Fannafold,113a
0000,112,Fannafold,Fannafold,123A
0000,112,Fannafold,Fannafold,125A
0000,112,Fannafold,Fannafold,127A
0000,112,Fannafold,Fannafold,143A
2000,230,Faxabraut,Faxabraut,13
2000,230,Faxabraut,Faxabraut,40A
2000,230,Faxabraut,Faxabraut,42A
0000,107,Fálkagata,Fálkagötu,14
0000,107,Fálkagata,Fálkagötu,16
0000,107,Fálkagata,Fálkagötu,27a
0000,101,Fiskislóð,Fiskislóð,49
2510,250,Meiðastaðavegur,Meiðastaðavegi,14
1000,201,Fífulind,Fífulind,13
1000,201,Fífulind,Fífulind,15
2300,240,Staðarhraun,Staðarhrauni,24B
2510,246,Efri-Flankastaðir,Efri-Flankastöðum,
0000,105,Flókagata,Flókagötu,49A
2510,235,Fálkavöllur,Fálkavelli,13
1604,270,Flugumýri,Flugumýri,24
0000,110,Fossháls,Fosshálsi,13
0000,110,Fossháls,Fosshálsi,15
0000,110,Dragháls,Draghálsi,6
0000,110,Dragháls,Draghálsi,8
0000,112,Frostafold,Frostafold,12
2510,250,Garðbraut,Garðbraut,51
2000,233,Hafnagata,Hafnagötu,30
2510,250,Garðbraut,Garðbraut,85
2510,250,Gauksstaðir,Gauksstöðum,
0000,112,Gautavík,Gautavík,29
0000,112,Gautavík,Gautavík,31
2510,250,Gerðavegur,Gerðavegi,22
0000,111,Gerðuberg,Gerðubergi,5
2000,230,Gígjuvellir,Gígjuvöllum,3
0000,112,Reykjafold,Reykjafold,2
0000,112,Reykjafold,Reykjafold,4
0000,112,Reykjafold,Reykjafold,6
0000,112,Reykjafold,Reykjafold,8
0000,112,Reykjafold,Reykjafold,10
0000,112,Reykjafold,Reykjafold,12
0000,112,Reykjafold,Reykjafold,14
0000,112,Reykjafold,Reykjafold,16
0000,112,Reykjafold,Reykjafold,18
0000,112,Reykjafold,Reykjafold,20
0000,112,Reykjafold,Reykjafold,22
0000,112,Reykjafold,Reykjafold,26
0000,112,Reykjafold,Reykjafold,30
0000,105,Reykjahlíð,Reykjahlíð,8
0000,105,Reykjahlíð,Reykjahlíð,12
0000,105,Vesturhlíð,Vesturhlíð,6
0000,105,Reykjavegur,Reykjavegi,24
0000,102,Reykjavíkurvegur,Reykjavíkurvegi,23
0000,102,Reykjavíkurvegur,Reykjavíkurvegi,29
0000,102,Reykjavíkurvegur,Reykjavíkurvegi,33
0000,105,Reynihlíð,Reynihlíð,2
0000,105,Reynihlíð,Reynihlíð,5
3609,311,Kaðalsstaðir,Kaðalsstöðum,2
3609,311,Arnbjargarlækur,Arnbjargarlæk,2
3609,311,Arnbjargarlækur,Arnbjargarlæk,
3609,311,Hvassafell,Hvassafelli,
3609,311,Hlöðutún-lóð,Hlöðutúni-lóð,
3609,311,Valbjarnarvellir,Valbjarnarvöllum,2
3609,311,Þverfell,Þverfelli,1
3609,311,Þverfell,Þverfelli,2
3609,320,Brennistaðir,Brennistöðum,3
3609,310,Berugata,Berugötu,20
3609,310,Hamravík,Hamravík,20
3609,310,Höfðaholt,Höfðaholti,2
3609,310,Fálkaklettur,Fálkakletti,2
3609,310,Svöluklettur,Svölukletti,2
3609,310,Borgarvík,Borgarvík,2
3609,310,Borgarbraut,Borgarbraut,2
3609,310,Böðvarsgata,Böðvarsgötu,2
3609,310,Þórunnargata,Þórunnargötu,2
3609,310,Bjarnarbraut,Bjarnarbraut,2
3609,310,Brattagata,Bröttugötu,2
3609,310,Ánahlíð,Ánahlíð,2
3609,310,Hamravík,Hamravík,2
